nct_id,Type,Value,Action
NCT01734512,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01737346,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01737671,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01738646,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01738880,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01742260,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01743950,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01751308,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01753713,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01754350,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01755624,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01756352,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01770626,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01774253,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01779219,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01781468,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01792310,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01792505,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01801813,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01801852,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01802567,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01804634,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01806155,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01806675,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01810744,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01813877,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01833273,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01836549,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01846871,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01847235,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01849484,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01856933,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01866449,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01868906,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01870726,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
