nct_id,Type,Value,Action
NCT01392209,Tag,Musella Foundation,Remove
NCT01833273,Tag,Musella Foundation,Remove
NCT02489071,Tag,Musella Foundation,Remove
NCT01693562,Tag,Musella Foundation,Remove
NCT01847235,Tag,Musella Foundation,Remove
NCT02441322,Tag,Musella Foundation,Remove
NCT02684838,Tag,Musella Foundation,Remove
NCT03115138,Tag,Musella Foundation,Remove
NCT01702792,Tag,Musella Foundation,Remove
NCT01478178,Tag,Musella Foundation,Remove
NCT01441596,Tag,Musella Foundation,Remove
NCT01763385,Tag,Musella Foundation,Remove
NCT00892177,Tag,Musella Foundation,Remove
NCT03115398,Tag,Musella Foundation,Remove
NCT00660543,Tag,Musella Foundation,Remove
NCT02629757,Tag,Musella Foundation,Remove
NCT01491893,Tag,Musella Foundation,Remove
NCT02645487,Tag,Musella Foundation,Remove
NCT01806675,Tag,Musella Foundation,Remove
NCT03160599,Tag,Musella Foundation,Remove
NCT01778764,Tag,Musella Foundation,Remove
NCT01795313,Tag,Musella Foundation,Remove
NCT00724191,Tag,Musella Foundation,Remove
NCT02858869,Tag,Musella Foundation,Remove
NCT01124461,Tag,Musella Foundation,Remove
NCT00826241,Tag,Musella Foundation,Remove
NCT00890786,Tag,Musella Foundation,Remove
NCT01067469,Tag,Musella Foundation,Remove
NCT00939315,Tag,Musella Foundation,Remove
NCT01538095,Tag,Musella Foundation,Remove
NCT01540513,Tag,Musella Foundation,Remove
NCT01166308,Tag,Musella Foundation,Remove
NCT01449461,Tag,Musella Foundation,Remove
NCT02669173,Tag,Musella Foundation,Remove
NCT02689336,Tag,Musella Foundation,Remove
NCT01331616,Tag,Musella Foundation,Remove
NCT02663440,Tag,Musella Foundation,Remove
NCT02684071,Tag,Musella Foundation,Remove
NCT01567202,Tag,Musella Foundation,Remove
NCT01105702,Tag,Musella Foundation,Remove
NCT02691923,Tag,Musella Foundation,Remove
NCT01189240,Tag,Musella Foundation,Remove
NCT01378481,Tag,Musella Foundation,Remove
NCT01228448,Tag,Musella Foundation,Remove
