nct_id,Type,Value,Action
NCT03671265,Tag,StoCAN,Add
NCT03673501,Tag,StoCAN,Add
NCT03675737,Tag,StoCAN,Add
NCT03676478,Tag,StoCAN,Add
NCT03691090,Tag,StoCAN,Add
NCT03694249,Tag,StoCAN,Add
NCT03694522,Tag,StoCAN,Add
NCT03694977,Tag,StoCAN,Add
NCT03698825,Tag,StoCAN,Add
NCT03699332,Tag,StoCAN,Add
NCT03701373,Tag,StoCAN,Add
NCT03706326,Tag,StoCAN,Add
NCT03708783,Tag,StoCAN,Add
NCT03717298,Tag,StoCAN,Add
NCT03719716,Tag,StoCAN,Add
NCT03723447,Tag,StoCAN,Add
NCT03724071,Tag,StoCAN,Add
NCT03727126,Tag,StoCAN,Add
NCT03731442,Tag,StoCAN,Add
NCT03745170,Tag,StoCAN,Add
NCT03745326,Tag,StoCAN,Add
NCT03751761,Tag,StoCAN,Add
NCT03753399,Tag,StoCAN,Add
NCT03760822,Tag,StoCAN,Add
NCT03762564,Tag,StoCAN,Add
NCT03767660,Tag,StoCAN,Add
NCT03773367,Tag,StoCAN,Add
NCT03775525,Tag,StoCAN,Add
NCT03776487,Tag,StoCAN,Add
NCT03777657,Tag,StoCAN,Add
NCT03783936,Tag,StoCAN,Add
NCT03784040,Tag,StoCAN,Add
NCT03784326,Tag,StoCAN,Add
NCT03788226,Tag,StoCAN,Add
NCT03790553,Tag,StoCAN,Add
NCT03791905,Tag,StoCAN,Add
NCT03798951,Tag,StoCAN,Add
NCT03800693,Tag,StoCAN,Add
NCT03801668,Tag,StoCAN,Add
NCT03801876,Tag,StoCAN,Add
NCT03802097,Tag,StoCAN,Add
NCT03804203,Tag,StoCAN,Add
NCT03807518,Tag,StoCAN,Add
NCT03811379,Tag,StoCAN,Add
NCT03812796,Tag,StoCAN,Add
NCT03817411,Tag,StoCAN,Add
NCT03819088,Tag,StoCAN,Add
NCT03822130,Tag,StoCAN,Add
NCT03825861,Tag,StoCAN,Add
NCT03837301,Tag,StoCAN,Add
NCT03838406,Tag,StoCAN,Add
NCT03841110,Tag,StoCAN,Add
NCT03852251,Tag,StoCAN,Add
NCT03858712,Tag,StoCAN,Add
NCT03866525,Tag,StoCAN,Add
NCT03890198,Tag,StoCAN,Add
NCT03896399,Tag,StoCAN,Add
NCT03914443,Tag,StoCAN,Add
NCT03915171,Tag,StoCAN,Add
NCT03918499,Tag,StoCAN,Add
NCT03931044,Tag,StoCAN,Add
NCT03940001,Tag,StoCAN,Add
NCT03941561,Tag,StoCAN,Add
NCT03941626,Tag,StoCAN,Add
NCT03944304,Tag,StoCAN,Add
NCT03946969,Tag,StoCAN,Add
NCT03950141,Tag,StoCAN,Add
NCT03952442,Tag,StoCAN,Add
NCT03957096,Tag,StoCAN,Add
NCT03957486,Tag,StoCAN,Add
NCT03957564,Tag,StoCAN,Add
NCT03961373,Tag,StoCAN,Add
NCT03978078,Tag,StoCAN,Add
NCT03990025,Tag,StoCAN,Add
NCT03990532,Tag,StoCAN,Add
NCT03991104,Tag,StoCAN,Add
NCT03997617,Tag,StoCAN,Add
NCT04001569,Tag,StoCAN,Add
NCT04005170,Tag,StoCAN,Add
NCT04006041,Tag,StoCAN,Add
NCT04010227,Tag,StoCAN,Add
NCT04018872,Tag,StoCAN,Add
NCT04032353,Tag,StoCAN,Add
NCT04044859,Tag,StoCAN,Add
NCT04050787,Tag,StoCAN,Add
NCT04062058,Tag,StoCAN,Add
NCT04071431,Tag,StoCAN,Add
NCT01137123,WF_StoCAN1,Needs Review,Add
NCT01348217,WF_StoCAN1,Needs Review,Add
NCT01389583,WF_StoCAN1,Needs Review,Add
NCT01404156,WF_StoCAN1,Needs Review,Add
NCT01534546,WF_StoCAN1,Needs Review,Add
NCT01665274,WF_StoCAN1,Needs Review,Add
NCT01684904,WF_StoCAN1,Needs Review,Add
NCT01691625,WF_StoCAN1,Needs Review,Add
NCT01691664,WF_StoCAN1,Needs Review,Add
NCT01704664,WF_StoCAN1,Needs Review,Add
NCT01726452,WF_StoCAN1,Needs Review,Add
NCT01738139,WF_StoCAN1,Needs Review,Add
